customer_id,customer_name,signup_date
1001,Bilal Farooq,2024-10-29
1002,Imran Chaudhry,2023-12-25
1003,Nida Aslam,2022-03-25
1004,Bilal Iqbal,2024-09-22
1005,Sara Khan,2022-12-01
1006,Mariam Javed,2022-12-03
1007,Alina Farooq,2022-08-31
1008,Alina Farooq,2021-07-21
1009,Mariam Malik,2024-08-01
1010,Iqra Chaudhry,2021-01-20
1011,Mariam Butt,2021-09-01
1012,Usman Javed,2021-11-18
1013,Kamran Iqbal,2022-01-27
1014,Nida Aslam,2021-07-04
1015,Mariam Chaudhry,2021-01-26
1016,Hassan Sheikh,2023-08-07
1017,Bilal Raza,2024-09-19
1018,Adeel Khan,2021-06-20
1019,Adeel Aslam,2022-02-20
1020,Ahmed Iqbal,2022-12-10
1021,Usman Farooq,2024-07-22
1022,Alina Butt,2023-08-30
1023,Bilal Javed,2023-12-09
1024,Nida Aslam,2023-03-25
1025,Imran Farooq,2022-08-07
1026,Kamran Malik,2021-10-07
1027,Omar Chaudhry,2024-04-25
1028,Hassan Khan,2024-01-31
1029,Mariam Malik,2021-02-05
1030,Alina Iqbal,2023-09-29
1031,Nimra Farooq,2021-04-29
1032,Omar Javed,2023-11-01
1033,Nida Butt,2024-03-02
1034,Nimra Butt,2021-07-03
1035,Bilal Chaudhry,2022-08-31
1036,Kamran Malik,2021-06-23
1037,Hassan Malik,2023-03-06
1038,Imran Chaudhry,2024-07-22
1039,Zara Sheikh,2021-04-24
1040,Fahad Iqbal,2022-07-11
1041,Nimra Chaudhry,2024-09-24
1042,Usman Aslam,2022-02-26
1043,Sana Farooq,2021-07-05
1044,Bilal Butt,2022-11-16
1045,Kamran Aslam,2022-12-13
1046,Nida Aslam,2023-07-18
1047,Iqra Butt,2022-03-16
1048,Adeel Sheikh,2024-08-30
1049,Sara Iqbal,2022-12-31
1050,Sana Malik,2022-02-06
1051,Iqra Malik,2024-09-06
1052,Iqra Khan,2024-07-18
1053,Kamran Farooq,2022-11-30
1054,Kamran Iqbal,2021-02-04
1055,Hassan Farooq,2023-04-16
1056,Ahmed Farooq,2023-02-17
1057,Fahad Chaudhry,2021-07-27
1058,Mariam Raza,2023-06-07
1059,Ayesha Malik,2024-03-23
1060,Sara Malik,2021-05-29
1061,Nida Iqbal,2023-10-10
1062,Imran Chaudhry,2021-07-16
1063,Adeel Raza,2023-11-15
1064,Bilal Farooq,2022-08-10
1065,Fahad Iqbal,2021-01-10
1066,Fahad Raza,2024-09-14
1067,Bilal Raza,2021-08-21
1068,Kamran Butt,2023-04-15
1069,Sana Khan,2021-09-12
1070,Zara Chaudhry,2024-07-30
1071,Waqas Sheikh,2023-10-31
1072,Ahmed Chaudhry,2024-02-01
1073,Waqas Aslam,2022-08-28
1074,Ayesha Sheikh,2022-10-17
1075,Iqra Khan,2023-06-08
1076,Adeel Sheikh,2024-01-04
1077,Nimra Sheikh,2024-03-31
1078,Nida Iqbal,2021-01-25
1079,Hina Raza,2023-07-18
1080,Mariam Farooq,2021-06-02
1081,Waqas Iqbal,2022-02-08
1082,Nida Chaudhry,2024-03-07
1083,Nida Aslam,2021-12-17
1084,Zara Malik,2024-01-21
1085,Zara Khan,2022-10-11
1086,Hina Khan,2021-11-22
1087,Kamran Farooq,2022-04-13
1088,Imran Chaudhry,2023-01-14
1089,Alina Malik,2023-12-08
1090,Nimra Raza,2023-04-29
1091,Nimra Malik,2024-07-30
1092,Hassan Iqbal,2024-04-29
1093,Hassan Chaudhry,2023-11-21
1094,Usman Butt,2023-04-25
1095,Sara Butt,2022-02-10
1096,Imran Iqbal,2022-08-01
1097,Sana Butt,2021-06-16
1098,Waqas Khan,2022-06-08
1099,Zara Malik,2024-07-21
1100,Zara Javed,2022-08-20
1101,Omar Javed,2021-06-09
1102,Hassan Iqbal,2023-07-02
1103,Hassan Sheikh,2024-09-09
1104,Kamran Javed,2024-04-29
1105,Ahmed Farooq,2022-01-19
1106,Ahmed Farooq,2022-09-28
1107,Kamran Chaudhry,2023-01-14
1108,Alina Sheikh,2021-12-13
1109,Bilal Khan,2022-01-12
1110,Nida Javed,2021-11-28
1111,Hina Chaudhry,2024-10-24
1112,Alina Sheikh,2023-11-11
1113,Alina Butt,2024-03-23
1114,Iqra Raza,2024-02-18
1115,Mariam Malik,2024-09-04
1116,Hassan Aslam,2021-05-28
1117,Ayesha Farooq,2024-05-19
1118,Hassan Farooq,2021-04-04
1119,Imran Chaudhry,2022-10-28
1120,Zara Iqbal,2023-04-13
1121,Hina Raza,2022-05-17
1122,Bilal Iqbal,2021-07-24
1123,Sana Khan,2021-09-27
1124,Kamran Chaudhry,2024-02-29
1125,Kamran Khan,2022-03-23
1126,Usman Chaudhry,2022-03-11
1127,Usman Butt,2024-07-16
1128,Imran Malik,2021-07-21
1129,Imran Malik,2024-07-05
1130,Usman Raza,2024-07-13
1131,Kamran Malik,2023-04-18
1132,Ahmed Javed,2021-08-20
1133,Waqas Raza,2021-08-07
1134,Nida Butt,2022-02-03
1135,Sana Raza,2023-03-20
1136,Ahmed Khan,2021-08-04
1137,Usman Javed,2022-09-30
1138,Nida Chaudhry,2021-06-11
1139,Hassan Farooq,2023-01-27
1140,Bilal Khan,2021-01-30
1141,Ahmed Chaudhry,2023-09-20
1142,Imran Chaudhry,2021-03-19
1143,Nida Javed,2021-09-30
1144,Usman Raza,2021-09-02
1145,Mariam Chaudhry,2024-03-09
1146,Iqra Sheikh,2021-03-16
1147,Waqas Butt,2022-08-24
1148,Mariam Raza,2023-04-08
1149,Iqra Chaudhry,2022-12-24
1150,Ahmed Khan,2023-08-12
1151,Omar Aslam,2024-01-30
1152,Ayesha Aslam,2022-07-06
1153,Mariam Malik,2024-03-05
1154,Zara Raza,2022-03-22
1155,Zara Malik,2024-10-10
1156,Imran Iqbal,2022-12-08
1157,Hina Sheikh,2023-10-28
1158,Sara Iqbal,2024-05-10
1159,Alina Farooq,2024-01-15
1160,Nimra Farooq,2024-04-06
1161,Zara Malik,2023-01-22
1162,Sana Javed,2021-03-02
1163,Waqas Sheikh,2022-11-22
1164,Sara Khan,2021-09-12
1165,Hina Raza,2024-05-29
1166,Mariam Butt,2021-11-28
1167,Zara Aslam,2021-11-16
1168,Hassan Aslam,2021-12-16
1169,Waqas Butt,2023-06-19
1170,Sara Javed,2023-03-11
1171,Sana Sheikh,2024-08-21
1172,Sana Raza,2022-08-06
1173,Nimra Sheikh,2022-01-31
1174,Waqas Javed,2021-03-10
1175,Usman Malik,2021-01-10
1176,Mariam Khan,2022-06-08
1177,Ahmed Chaudhry,2024-07-20
1178,Waqas Javed,2023-01-04
1179,Usman Aslam,2024-06-04
1180,Bilal Farooq,2021-05-23
1181,Iqra Aslam,2021-05-11
1182,Sara Aslam,2024-03-12
1183,Hina Raza,2021-05-30
1184,Hassan Butt,2021-03-14
1185,Ayesha Farooq,2022-07-20
1186,Zara Iqbal,2024-07-18
1187,Nida Butt,2023-08-24
1188,Adeel Khan,2021-05-19
1189,Alina Farooq,2024-03-17
1190,Omar Sheikh,2024-03-27
1191,Ayesha Javed,2024-01-26
1192,Nimra Sheikh,2024-06-17
1193,Ayesha Malik,2021-12-02
1194,Bilal Aslam,2024-10-03
1195,Adeel Malik,2022-03-25
1196,Alina Malik,2024-01-28
1197,Omar Raza,2023-03-23
1198,Alina Aslam,2023-12-28
1199,Ayesha Malik,2023-05-29
1200,Ahmed Butt,2023-06-19
