transaction_id,customer_id,customer_name,email,transaction_date,product_category,quantity,unit_price,discount_pct,payment_method,country,shipping_weight,rating,is_returned,notes
5046,1159,Alina Farooq,alina.farooq@gmail.com,,BEAUTY,7,1674.76,49.8,Credit Card,Saudi Arabia,1.96,5.0,No,Reâ€™quested refund
5296,1077,Nimra Sheikh,nimra.sheikh@gmail.com,07/04/2025,electronics,6,2411.4,54.8,debit card,Pakistan,0.84,1.0,No,N/A
5789,1005,Sara Khan,sara.khan@gmail.com,21 Nov 2027,Apparel,4,1181.67,12.6,wallet,Germany,2.11,1.0,No,Reâ€™quested refund
5147,1032,Omar Javed,omar.javed@gmail.com,23 Mar 2024,Sport,6,4506.71,41.1,DC,UK,4.65 lbs,2.0,No,  
5454,1001,Bilal Farooq,bilal.farooq@gmail.com,05/08/2024,Home & Kitchen,6,1863.87,54.4,CC,UK,7.32 lbs,3.0,Yes,Customer requested gift wrap
5806,1051,Iqra Malik,iqra.malik@gmail.com,02/08/2025,Book,4,2425.46,37.3,wallet,USA,0.75,2.0,Yes,Packaging damaged  
5300,1098,Waqas Khan,waqas.khan@gmail.com,,apparel,2,"$1,061.65",34.3,CREDIT_CARD,UK,4.63,2.0,no,Packaging damaged  
5127,1170,Sara Javed,sara.javed@gmail.com,13/06/2024,groceries,4,2612.04,17.5,Cash on Delivery,USA,1.33,5.0,no,Packaging damaged  
5261,1049,Sara Iqbal,sara.iqbal@gmail.com,2025-04-06,beauty,2,5568.89,42.3,CC,Pakistan,7.41,1.0,No,VIP customer - priority
5053,1159,Alina Farooq,alina.farooq@gmail.com,,Books,4,2563.58,50.9,COD,Germany,1.62,4.0,No,
5791,1059,Ayesha Malik,ayesha.malik@gmail.com,06/05/2024,Sports,2,953.74,47.0,e-wallet,UK,1.74,4.0,No,
5277,1073,Waqas Aslam,waqas.aslam@gmail.com,,Toys,2,3739.81,44.4,credit card,USA,2.93,1.0,No,
5350,1190,Omar Sheikh,omar.sheikh@gmail.com,21/10/2024,home & kitchen,5,1051.13,4.6,Debit Card,Germany,2.23,4.0,No,N/A
5283,1193,Ayesha Malik,ayesha.malik@gmail.com,10/08/2025,apparel,7,3287.76,8.4,cod,USA,1.67,1.0,Y,Packaging damaged  
5204,1168,Hassan Aslam,hassan.aslam@gmail.com,2027-05-07,Book,1,"$3,907.70",39.5,Bank_Transfer,UAE,0.84,4.0,No,Reâ€™quested refund
5563,1006,Mariam Javed,mariam.javed@gmail.com,23 Aug 2024,Home & Kitchen,6,PKR 555,25.3,wallet,UK,3.9,3.0,No,
5509,1195,Adeel Malik,adeel.malik@gmail.com,05-07-2025,Books,-1,1645.47,28.8,Cash On Delivery,USA,3.45,1.0,no,
5731,1050,Sana Malik,sana.malik@gmail.com,2025-08-11,groceries,4,1110.62,41.0,Bank Transfer,UK,3.95,3.0,No,Reâ€™quested refund
5508,1163,Waqas Sheikh,waqas.sheikh@gmail.com,2024-09-07,Books,7,"PKR 2,243",17.7,e-wallet,Pakistan,1.01,2.0,no,Packaging damaged  
5446,1102,Hassan Iqbal,hassan.iqbal@gmail.com,05/07/2025,Grocery,2,1503.26,57.6,wallet,Germany,5.39,1.0,Y,
5796,1005,Sara Khan,sara.khan@gmail.com,,Home and Kitchen,7,1366.76,8.2,wallet,UK,0.16,1.0,no,
5108,1024,Nida Aslam,nida.aslam@gmail.com,2024-04-07,home & kitchen,-1,736.38,-1.2,debit card,Pakistan,1.83,4.0,No,  
5372,1116,Hassan Aslam,hassan.aslam@gmail.com,12/10/2024,toys,3,2583.25,45.3,credit card,UAE,2.8,4.0,No,Packaging damaged  
5094,1167,Zara Aslam,zara.aslam@gmail.com,2024-07-14,Home & Kitchen,3,1341.61,57.0,Cash On Delivery,Pakistan,5.31 lbs,2.0,No,Reâ€™quested refund
5581,1089,Alina Malik,alina.malik@gmail.com,2025-01-23,Beauty,1,2706.28,37.5,Bank_Transfer,Pakistan,3.93,5.0,No,Packaging damaged  
5396,1179,Usman Aslam,,13 Jan 2024,Home&Kitchen,6,686.31,53.0,Bank_Transfer,USA,2.69,2.0,No,
5387,1093,Hassan Chaudhry,hassan.chaudhry@gmail.com,2024-11-03,Toys,5,3195.78,31.5,Debit Card,UAE,2.12,1.0,No,
5168,1164,Sara Khan,sara.khangmail.com,26 Aug 2024,BEAUTY,6,5033.56,3.5,Bank_Transfer,Germany,3.75,1.0,Yes,VIP customer - priority
5720,1126,Usman Chaudhry,usman.chaudhry@gmail.com,07-31-2025,sports,7,1263.88,37.1,DC,Pakistan,3.07,2.0,No,VIP customer - priority
5179,1088,Imran Chaudhry,imran.chaudhry@gmail.com,,Toy,6,3514.26,40.3,credit card,Saudi Arabia,2.38,4.0,N,Delivered on time
5063,1139,Hassan Farooq,hassan.farooqgmail.com,22/02/2024,Sports,4,3433.43,45.6,wallet,USA,4.28,5.0,No,Reâ€™quested refund
5466,1038,Imran Chaudhry,imran.chaudhrygmail.com,2025-03-25,Electronics ,2,2220.28,39.1,CREDIT_CARD,Pakistan,4.4,4.0,yes,Delivered on time
5072,1066,Fahad Raza,fahad.raza@gmail.com,14/01/2025,Book,1,2837.52,1.3,credit card,Germany,0.55,3.0,no,Packaging damaged  
5057,1033,Nida Butt,nida.butt@gmail.com,,Home & Kitchen,2,4958.63,7.7,DC,USA,0.32,1.0,No,N/A
